,,accuracy,accuracy,accuracy,e2e_latency_ms,e2e_latency_ms,e2e_latency_ms,mrr,mrr,mrr,recall_at_k,recall_at_k,recall_at_k
top_k,,1,3,5,1,3,5,1,3,5,1,3,5
embedding_model,chunk_size,,,,,,,,,,,,
all-MiniLM-L6-v2,256,0.765,0.84,0.83,55.296600830042735,91.87947623664513,148.88301916071214,0.485,0.5425,0.5582499999999999,0.485,0.61,0.68
all-MiniLM-L6-v2,512,0.76,0.82,0.805,48.85804083896801,93.63591081579216,152.02130710938945,0.485,0.5449999999999998,0.5595,0.485,0.615,0.68
all-MiniLM-L6-v2,1024,0.76,0.82,0.805,48.31079040537588,93.62774498062208,153.78816251643002,0.485,0.5449999999999998,0.5595,0.485,0.615,0.68
msmarco-MiniLM-L6-v3,256,0.79,0.83,0.83,60.09289977722801,91.67016876745038,160.0371464388445,0.535,0.5908333333333333,0.5943333333333334,0.535,0.66,0.675
msmarco-MiniLM-L6-v3,512,0.785,0.815,0.795,48.47507558995858,90.69808245869353,161.58514373702928,0.525,0.5825,0.58625,0.525,0.655,0.67
msmarco-MiniLM-L6-v3,1024,0.785,0.815,0.795,52.3573508055415,92.03753602225333,160.3268768521957,0.525,0.5825,0.58625,0.525,0.655,0.67
