seed,delta_A_vs_baseline_k3,delta_B_vs_baseline_k3,delta_C_noise_vs_baseline_k1,delta_D_shuffle_vs_baseline_k3
0,-0.32900000000000007,0.015999999999999903,-0.010000000000000009,0.015999999999999903
1,-0.33000000000000007,0.0039999999999998925,-0.014000000000000012,0.007999999999999896
2,-0.32200000000000006,0.007999999999999896,-0.0030000000000000027,0.0040000000000000036
