setting_name,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95_lo,accuracy_ci95_hi,recall_at_k_mean,recall_at_k_std,recall_at_k_ci95_lo,recall_at_k_ci95_hi,latency_ms_mean,latency_ms_std,latency_ms_ci95_lo,latency_ms_ci95_hi
A_remove_answer_sentence,3,0.48233333333333334,0.0005773502691896263,0.4808991157567502,0.48376755090991647,0.617,0.0,0.617,0.617,77.92448469880037,1.667354407562381,73.78254673612153,82.06642266147921
B_only_answer_sentence,3,0.8186666666666665,0.007371114795832,0.8003558024246994,0.8369775309086337,0.617,0.0,0.617,0.617,41.825100420741364,0.9420058062886125,39.485028272652045,44.165172568830684
C_baseline_k1,3,0.775,0.0036055512754639926,0.7660433141049704,0.7839566858950296,0.465,0.0,0.465,0.465,45.71217911915543,0.9692179286905953,43.30450831159058,48.11984992672028
C_k1_plus_random_distractor,3,0.766,0.005196152422706636,0.7530920418107516,0.7789079581892484,0.465,0.0,0.465,0.465,69.00732492702082,2.350619206443228,63.168063110330564,74.84658674371107
D_shuffle_top3_order,3,0.8186666666666667,0.009073771725877415,0.7961261681346007,0.8412071651987326,0.617,0.0,0.617,0.617,88.86060545019184,2.0718059167526772,83.71395424095905,94.00725665942463
baseline_k3_full_context,3,0.8093333333333335,0.0037859388972001857,0.799928539744416,0.8187381269222509,0.617,0.0,0.617,0.617,89.8434636387198,2.5705802467874364,83.45778830659465,96.22913897084494
